ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,linke_pds,ad_demokraten,other
5378020,Odenthal,2017-05-14,12230,0.76941946,9410,0.396767634,0.222198437,0.190731029,0.061008241,0.06518249,0.029219737,0.000321096,0.034571337
5378024,"Overath, Stadt",2017-05-14,20437,0.728923032,14897,0.388381687,0.24480963,0.163048624,0.064516129,0.065462907,0.034895516,0.001825928,0.037059579
5378028,"Rösrath, Stadt",2017-05-14,21802,0.711723695,15517,0.328849903,0.263287849,0.179077323,0.060168941,0.088823912,0.040935673,0.001104613,0.037751787
5378032,"Wermelskirchen, Stadt",2017-05-14,27203,0.685328824,18643,0.362175325,0.246753247,0.185660173,0.064393939,0.06017316,0.038311688,0.000595238,0.041937229
5382004,Alfter,2017-05-14,17543,0.713560964,12518,0.377198645,0.231482976,0.160964983,0.058415362,0.083266096,0.045747943,0.000161368,0.042762627
5382008,"Bad Honnef, Stadt",2017-05-14,19054,0.726146741,13836,0.37170932,0.238688861,0.186184645,0.052357557,0.075163159,0.041944709,0.000513309,0.03343844
5382012,"Bornheim, Stadt",2017-05-14,36495,0.692807234,25284,0.375189772,0.2388334,0.160287655,0.072313224,0.070475429,0.041829804,0.000559329,0.040511386
5382016,Eitorf,2017-05-14,13874,0.628369612,8718,0.362399721,0.282409022,0.142309034,0.065457505,0.05173817,0.046738751,0.000697593,0.048250203
5382020,"Hennef (Sieg), Stadt",2017-05-14,36384,0.691705145,25167,0.367200064,0.256030878,0.148037954,0.06710357,0.070923126,0.044749115,0.00116597,0.044789321
5382024,"Königswinter, Stadt",2017-05-14,30906,0.730084773,22564,0.365919162,0.240902377,0.170493711,0.058457544,0.081777897,0.043149367,0.000537129,0.038762813
5382028,"Lohmar, Stadt",2017-05-14,23714,0.729653369,17303,0.363204504,0.251539499,0.156530409,0.062107794,0.090962407,0.032197525,0.000645123,0.042812738
5382032,"Meckenheim, Stadt",2017-05-14,18602,0.709923664,13206,0.407135201,0.230439443,0.175777063,0.07073955,0.049150207,0.034833869,0.000612464,0.031312203
5382036,Much,2017-05-14,11632,0.695409216,8089,0.39508483,0.233283433,0.145209581,0.073977046,0.069236527,0.040793413,0.001122754,0.041292415
5382040,Neunkirchen-Seelscheid,2017-05-14,15728,0.734104781,11546,0.374496762,0.242429547,0.158060564,0.075091896,0.067915281,0.040521617,0.000262559,0.041221775
5382044,"Niederkassel, Stadt",2017-05-14,28109,0.718061831,20184,0.382657917,0.264689676,0.153884687,0.07368632,0.053398788,0.030606622,0.001653058,0.039422932
5382048,"Rheinbach, Stadt",2017-05-14,20862,0.722461892,15072,0.395965959,0.237887824,0.16578436,0.070428198,0.058902365,0.032098104,0.000670107,0.038263084
5382052,Ruppichteroth,2017-05-14,7825,0.687028754,5376,0.400644061,0.231483235,0.128812275,0.074445918,0.062511839,0.053419208,0,0.048683463
5382056,"Sankt Augustin, Stadt",2017-05-14,42175,0.675044458,28470,0.361365411,0.260024129,0.151799021,0.073699525,0.063835072,0.047193244,0.000674189,0.04140941
5382060,"Siegburg, Stadt",2017-05-14,30236,0.658916523,19923,0.346550236,0.261054983,0.152307458,0.066558359,0.069046048,0.052495304,0.001167691,0.050819922
5382064,Swisttal,2017-05-14,14166,0.709092193,10045,0.405836615,0.248005655,0.154195698,0.074219933,0.049984853,0.030697768,0.000504898,0.036554579
5382068,"Troisdorf, Stadt",2017-05-14,53953,0.64967657,35052,0.337294016,0.294825094,0.127002024,0.080890431,0.057010697,0.049898815,0.001387684,0.05169124
5382072,Wachtberg,2017-05-14,15293,0.743869744,11376,0.404550302,0.216761465,0.197209385,0.057945254,0.061500178,0.027995023,0.001066477,0.032971916
