ags,GEN,total_22,german_born,turkish_born,italian_born
010565636051,Westerhorn,1274,0.922291994,0.015698587,0
010565660003,Bevern,580,0.925862069,0,0
010565660004,Bilsen,839,0.886769964,0,0
010565660008,Bokholt0Hanredder,1342,0.929955291,0.007451565,0
010565660011,Bullenkuhlen,385,0.955844156,0,0
010565660014,Ellerhoop,1505,0.907641196,0.002657807,0
010565660017,Groß Offenseth0Aspern,456,0.888157895,0,0
010565660022,Heede (Kreis Pinneberg),839,0.932061979,0.003575685,0
010565660026,Hemdingen,1746,0.943298969,0.004009164,0
010565660034,Langeln,591,0.893401015,0,0
010565660035,Lutzhorn,799,0.956195244,0,0
010565687009,Borstel0Hohenraden,2401,0.914618909,0.003748438,0.001249479
010565687013,Ellerbek,4348,0.871665133,0.005059798,0.001149954
010565687032,Kummerfeld,2351,0.86984262,0.008932369,0.002552105
010565687040,Prisdorf,2299,0.868638538,0.003914746,0.001304915
010565687047,Tangstedt (Kreis Pinneberg),2231,0.881219184,0.006275213,0.003585836
010565690001,Appen,4818,0.898090494,0.0041511,0.00166044
010565690016,Groß Nordende,821,0.906211937,0.006090134,0
010565690019,Haselau,1128,0.911347518,0.004432624,0.002659574
010565690020,Haseldorf,1838,0.925462459,0.003264418,0
010565690023,Heidgraben,2730,0.931868132,0.002564103,0.001465201
010565690024,Heist,2832,0.918079096,0.002118644,0.001412429
010565690027,Hetlingen,1449,0.93857833,0.002070393,0
010565690028,Holm,3304,0.900121065,0.007263923,0.003631961
010565690036,Moorrege,4488,0.908645276,0.003342246,0.003565062
010565690037,Neuendeich,496,0.927419355,0,0
010570001001,Ascheberg (Holstein),3097,0.906360995,0.003874717,0
010570008008,Bönebüttel,2065,0.926876513,0.003874092,0
010570009009,Bösdorf,1247,0.920609463,0,0.002405774
010570057057,"Plön, Stadt",8889,0.854201822,0.003487456,0.000562493
010570062062,"Preetz, Stadt",16245,0.878054786,0.002585411,0.002154509
010570091091,"Schwentinental, Stadt",13905,0.885436893,0.009924488,0.000862999
010575727004,Behrensdorf (Ostsee),640,0.93125,0,0
010575727007,Blekendorf,1634,0.946144431,0,0
010575727013,Dannau,585,0.92991453,0,0
010575727021,Giekau,997,0.959879639,0,0
010575727026,Helmstorf,302,0.927152318,0,0
